MMI_DRUG_ID;SCD_RXCUI
50252801;312832
50252901;314211
50253201;199387
50254501;312829
54936236;848131
54868105;700885
54802378;1998460
54802378;349547
50254701;312830
47239001;197516
50254801;312831
50254901;312832
35436701;833528
54900941;283317
50255001;314211
54850326;349401
47239101;197517
54854913;2106343
54865471;310793
54850545;401971
54900338;197517
54932016;199147
54802383;802749
54989844;483442
54802376;349545
54802376;1998451
54802377;1998454
54802377;349490
54989528;1422099
54900764;802749
54868147;205305
54850935;403855
54851062;310346
54900934;1300801
54900934;1300804
54900935;2261802
54900942;477130
50255101;198440
50256201;199387
50256401;312829
47241001;198013
47242001;310248
47242201;310248
50256501;312830
54940076;199696
35443401;200258
50256601;312831
54900426;197516
54989535;1430446
54909117;1607796
54931948;825427
54802379;1998462
54802379;402131
50256701;312832
54865674;313566
54854915;901546
54854915;901548
54865759;313566
54989840;483440
54802352;349490
54802352;1998454
54996668;997653
54989822;2099954
54866079;2047241
54802014;582671
35444901;198051
54900940;283316
54989552;200224
54993508;200224
35445501;1946529
35445501;833709
35445501;836398
54852124;1364445
54868112;1232086
50256801;314211
50256901;153791
54802060;1000001
54880177;900575
54866084;1232082
54866200;979485
54995441;349251
54989862;2572105
47243401;284215
35447901;312137
54989603;311878
55025240;1148810
55025240;1148809
35448001;312138
35448201;348812
54377401;313002
55000442;200060
50264001;312831
35449901;284215
50264501;312832
50264801;314211
54377501;313002
50270601;312829
54900520;582671
50270701;312830
54989637;722134
54866479;979492
54989655;1430455
35450301;861007
54936257;848151
54802356;1998460
54802356;349547
35450401;861010
54868127;197439
54377601;313002
55003966;284989
47246301;197516
50283101;636042
47247301;1014678
54900571;349201
50283601;636045
54867128;351249
55018985;1000913
54989866;1551917
54377701;313002
54867801;979480
35451701;310809
54989830;1232086
54989682;1232082
54937671;1147334
54802382;578330
54868088;311282
54947550;392634
54953737;483450
54989711;260243
54868231;637549
54377801;313002
54868232;637549
54902618;351172
54868233;637549
35456101;905041
54900591;284989
54378401;242297
54963235;314229
54868234;637549
54868235;637549
54811200;999986
35457001;311704
54989832;1552351
47260601;197517
54989834;1723476
54918825;153822
54802524;1486838
47260701;1246326
47261601;892625
54868330;313002
54974315;1723476
54989970;844900
47261701;892625
54874913;311282
54802573;847617
54989849;313002
54900602;1359126
47262301;310430
47262401;310431
54802574;847617
35461401;578325
54989850;313002
47262501;310432
47264201;197627
47268901;199560
54874944;198440
54380301;351109
47269201;199559
54869111;309097
50293201;312830
50293601;312831
54989851;313002
50294001;312832
54900805;308739
55015786;1234995
54955116;351174
54956611;359494
54869529;993458
50294201;314211
54892365;388521
35462201;310965
35462601;854905
35462701;854901
35463401;402505
35463401;199379
54902425;197582
54989852;313002
35463501;402506
35463501;199380
55022387;582671
54902462;197682
54901642;389247
54892432;388521
54892435;388520
54892439;388521
54892499;388521
54892561;582671
54892603;388520
54933976;283317
54902449;205323
35463601;252148
54941280;311787
54985972;153823
47279901;403943
55007883;903857
54803149;483444
54802869;283504
54802875;283504
50296001;312829
47283901;2532163
47283901;248642
50296201;312830
54892622;388519
54802898;349201
54941418;1592742
50296501;312831
35467001;199380
35467001;402506
54386101;1482525
50296901;312832
54387001;1482525
50297201;314211
35468201;198223
54892695;388519
35468301;198222
54892758;388521
54388001;349420
55006772;308868
35468801;833709
35468801;1946529
35468801;836398
54903335;1430451
35468901;849561
35468901;836489
54989859;847617
54990011;1607784
54989973;844900
54892766;388521
35469201;1946527
35469201;836401
35469201;833711
54393901;314214
50297301;312829
54394001;312835
55022301;582671
54966330;314286
54990012;1607796
50300301;199387
54990013;1607792
