# 2024-05-27
# Data taken from the EDQM Standard Terms database (http://standardterms.edqm.eu) with the permission of the European Directorate for the Quality of Medicines & HealthCare, Council of Europe (EDQM).
"SOURCECODE";"TARGETCLASS";"TARGETCODE"
"10916000";"ISI";"0036"
"10916000";"RCA";"0047"
"11001000";"BDF";"0071"
"11001000";"ISI";"0035"
"11001000";"RCA";"0047"
"11002000";"BDF";"0073"
"11002000";"ISI";"0035"
"11002000";"RCA";"0047"
"11003000";"BDF";"0074"
"11003000";"ISI";"0035"
"11003000";"RCA";"0047"
"11004000";"BDF";"0072"
"11004000";"ISI";"0035"
"11004000";"RCA";"0047"
"11005000";"BDF";"0083"
"11005000";"ISI";"0035"
"11005000";"RCA";"0047"
"11006000";"BDF";"0085"
"11006000";"ISI";"0035"
"11006000";"RCA";"0047"
"11007000";"BDF";"0080"
"11007000";"ISI";"0035"
"11007000";"RCA";"0047"
"11008000";"BDF";"0078"
"11008000";"ISI";"0035"
"11008000";"RCA";"0047"
"11009000";"BDF";"0066"
"11009000";"ISI";"0035"
"11009000";"RCA";"0047"
"11010000";"BDF";"0066"
"11010000";"ISI";"0035"
"11010000";"RCA";"0047"
"11011000";"BDF";"0069"
"11011000";"ISI";"0035"
"11011000";"RCA";"0047"
"11012000";"BDF";"0069"
"11012000";"ISI";"0035"
"11012000";"RCA";"0047"
"11013000";"BDF";"0068"
"11013000";"ISI";"0035"
"11013000";"RCA";"0047"
"11014000";"BDF";"0051"
"11014000";"ISI";"0035"
"11014000";"RCA";"0047"
"11015000";"BDF";"0056"
"11015000";"ISI";"0035"
"11015000";"RCA";"0047"
"11100500";"BDF";"0096"
"11100500";"ISI";"0034"
"11100500";"RCA";"0047"
"11101000";"BDF";"0083"
"11101000";"ISI";"0034"
"11101000";"RCA";"0047"
"11102000";"BDF";"0085"
"11102000";"ISI";"0034"
"11102000";"RCA";"0047"
"11103000";"BDF";"0066"
"11103000";"ISI";"0034"
"11103000";"RCA";"0047"
"11104000";"BDF";"0066"
"11104000";"ISI";"0034"
"11104000";"RCA";"0047"
"11105000";"BDF";"0080"
"11105000";"ISI";"0034"
"11105000";"RCA";"0047"
"11106000";"BDF";"0083"
"11106000";"ISI";"0034"
"11106000";"RCA";"0047"
"11107000";"BDF";"0085"
"11107000";"ISI";"0034"
"11107000";"RCA";"0047"
"11108000";"BDF";"0080"
"11108000";"ISI";"0034"
"11108000";"RCA";"0047"
"11109000";"BDF";"0066"
"11109000";"ISI";"0034"
"11109000";"RCA";"0047"
"11110000";"BDF";"0066"
"11110000";"ISI";"0034"
"11110000";"RCA";"0047"
"11111000";"BDF";"0066"
"11111000";"ISI";"0034"
"11111000";"RCA";"0047"
"11112000";"BDF";"0066"
"11112000";"ISI";"0034"
"11112000";"RCA";"0047"
"11113000";"BDF";"0051"
"11113000";"ISI";"0034"
"11113000";"RCA";"0047"
"11114000";"BDF";"0083"
"11114000";"ISI";"0034"
"11114000";"RCA";"0047"
"11115000";"BDF";"0069"
"11115000";"ISI";"0034"
"11115000";"RCA";"0047"
"11116000";"BDF";"0074"
"11116000";"ISI";"0034"
"11116000";"RCA";"0047"
"11117000";"BDF";"0082"
"11117000";"ISI";"0034"
"11117000";"RCA";"0047"
"11118000";"BDF";"0087"
"11118000";"ISI";"0034"
"11118000";"RCA";"0047"
"11201000";"BDF";"0083"
"11201000";"ISI";"0033"
"11201000";"RCA";"0047"
"11202000";"BDF";"0085"
"11202000";"ISI";"0033"
"11202000";"RCA";"0047"
"11203000";"BDF";"0080"
"11203000";"ISI";"0033"
"11203000";"RCA";"0047"
"11204000";"BDF";"0073"
"11204000";"ISI";"0033"
"11204000";"RCA";"0047"
"11205000";"BDF";"0066"
"11205000";"ISI";"0033"
"11205000";"RCA";"0047"
"11206000";"BDF";"0066"
"11206000";"ISI";"0033"
"11206000";"RCA";"0047"
"11208400";"BDF";"0066"
"11208400";"ISI";"0033"
"11208400";"RCA";"0045"
"11208500";"BDF";"0085"
"11208500";"ISI";"0033"
"11208500";"RCA";"0045"
"11209000";"BDF";"0078"
"11209000";"ISI";"0033"
"11209000";"RCA";"0047"
"11209500";"BDF";"0083"
"11209500";"ISI";"0033"
"11209500";"RCA";"0047"
"11210000";"BDF";"0083"
"11210000";"ISI";"0033"
"11210000";"RCA";"0047"
"11211000";"BDF";"0080"
"11211000";"ISI";"0033"
"11211000";"RCA";"0047"
"11211500";"BDF";"0066"
"11211500";"ISI";"0033"
"11211500";"RCA";"0047"
"11212000";"BDF";"0066"
"11212000";"ISI";"0033"
"11212000";"RCA";"0047"
"11213000";"BDF";"0078"
"11213000";"ISI";"0033"
"11213000";"RCA";"0047"
"11215000";"BDF";"0059"
"11215000";"ISI";"0033"
"11215000";"RCA";"0047"
"11216000";"BDF";"0084"
"11216000";"ISI";"0033"
"11216000";"RCA";"0047"
"11217000";"BDF";"0059"
"11217000";"ISI";"0033"
"11217000";"RCA";"0047"
"11218000";"BDF";"0059"
"11218000";"ISI";"0033"
"11218000";"RCA";"0047"
"11301000";"BDF";"0055"
"11301000";"ISI";"0033"
"11301000";"RCA";"0045"
"11302000";"BDF";"0069"
"11302000";"ISI";"0033"
"11302000";"RCA";"0045"
"11303000";"BDF";"0055"
"11303000";"ISI";"0033"
"11303000";"RCA";"0045"
"11303300";"BDF";"0055"
"11303300";"ISI";"0033"
"11303300";"RCA";"0045"
"11303500";"BDF";"0085"
"11303500";"ISI";"0033"
"11303500";"RCA";"0045"
"11303750";"BDF";"0096"
"11303750";"ISI";"0033"
"11303750";"RCA";"0045"
"11401000";"BDF";"0083"
"11401000";"ISI";"0109"
"11401000";"RCA";"0047"
"11402000";"BDF";"0083"
"11402000";"ISI";"0025"
"11402000";"ISI";"0033"
"11402000";"RCA";"0047"
"11403000";"BDF";"0083"
"11403000";"ISI";"0025"
"11403000";"ISI";"0033"
"11403000";"RCA";"0047"
"11404000";"BDF";"0083"
"11404000";"ISI";"0025"
"11404000";"ISI";"0033"
"11404000";"RCA";"0047"
"11405000";"BDF";"0078"
"11405000";"ISI";"0025"
"11405000";"ISI";"0033"
"11405000";"RCA";"0047"
"11501000";"BDF";"0083"
"11501000";"ISI";"0028"
"11501000";"RCA";"0047"
"11502000";"BDF";"0083"
"11502000";"ISI";"0028"
"11502000";"RCA";"0047"
"11502500";"BDF";"0083"
"11502500";"ISI";"0028"
"11502500";"RCA";"0047"
"11503000";"BDF";"0066"
"11503000";"ISI";"0028"
"11503000";"RCA";"0047"
"11504000";"BDF";"0073"
"11504000";"ISI";"0119"
"11504000";"RCA";"0047"
"11505000";"BDF";"0067"
"11505000";"ISI";"0119"
"11505000";"RCA";"0047"
"11601000";"BDF";"0083"
"11601000";"ISI";"0034"
"11601000";"RCA";"0047"
"11602000";"BDF";"0066"
"11602000";"ISI";"0034"
