# 2024-05-29
# Data taken from the EDQM Standard Terms database (http://standardterms.edqm.eu) with the permission of the European Directorate for the Quality of Medicines & HealthCare, Council of Europe (EDQM).
"SOURCECLASS";"SOURCECODE";"TARGETCLASS";"TARGETCODE"
"PDF";"10513000";"ISI";"0022"
"PDF";"10514000";"ISI";"0022"
"PDF";"10514500";"ISI";"0022"
"PDF";"10515000";"ISI";"0022"
"PDF";"10516000";"ISI";"0022"
"PDF";"10517000";"ISI";"0022"
"PDF";"10517500";"ISI";"0022"
"PDF";"10518000";"ISI";"0116"
"PDF";"10518500";"ISI";"0116"
"PDF";"10519000";"ISI";"0116"
"PDF";"10520000";"ISI";"0022"
"PDF";"10521000";"ISI";"0022"
"PDF";"10521500";"ISI";"0022"
"PDF";"10522000";"ISI";"0022"
"PDF";"10522000";"ISI";"0116"
"PDF";"10523000";"ISI";"0022"
"PDF";"10524000";"ISI";"0022"
"PDF";"10525000";"ISI";"0022"
"PDF";"10539250";"ISI";"0022"
"PDF";"10539500";"ISI";"0022"
"PDF";"10546250";"ISI";"0116"
"PDF";"10546400";"ISI";"0116"
"PDF";"10546500";"ISI";"0116"
"PDF";"10547000";"ISI";"0116"
"PDF";"10548000";"ISI";"0022"
"PDF";"10549000";"ISI";"0022"
"PDF";"10550000";"ISI";"0022"
"PDF";"10600500";"ISI";"0030"
"PDF";"10601000";"ISI";"0030"
"PDF";"10602000";"ISI";"0030"
"PDF";"10603000";"ISI";"0030"
"PDF";"10604000";"ISI";"0030"
"PDF";"10604500";"ISI";"0030"
"PDF";"10605000";"ISI";"0030"
"PDF";"10608000";"ISI";"0030"
"PDF";"10609000";"ISI";"0030"
"PDF";"10610000";"ISI";"0030"
"PDF";"10611000";"ISI";"0030"
"PDF";"10612000";"ISI";"0030"
"PDF";"10613000";"ISI";"0030"
"PDF";"10701000";"ISI";"0021"
"PDF";"10702000";"ISI";"0021"
"PDF";"10703000";"ISI";"0021"
"PDF";"10704000";"ISI";"0021"
"PDF";"10705000";"ISI";"0021"
"PDF";"10706000";"ISI";"0021"
"PDF";"10708000";"ISI";"0021"
"PDF";"10709000";"ISI";"0021"
"PDF";"10710000";"ISI";"0021"
"PDF";"10711000";"ISI";"0021"
"PDF";"10712000";"ISI";"0021"
"PDF";"10713000";"ISI";"0021"
"PDF";"10714000";"ISI";"0021"
"PDF";"10715000";"ISI";"0021"
"PDF";"10801000";"ISI";"0029"
"PDF";"10802000";"ISI";"0029"
