edqm_dose_form,rxnorm_dose_form,has_trac_code,has_trac_term,has_rca_code,has_rca_term,has_amec_code,has_amec_term,has_isic_code,has_isic_term
solution for cardioplegia/organ preservation,,42,no transformation                                 ,47,conventional                                      ,20,not specified,25,extracorporeal
solution for haemofiltration,,42,no transformation                                 ,47,conventional                                      ,112,dialysis,25,extracorporeal/parenteral
solution for haemodiafiltration,,42,no transformation                                 ,47,conventional                                      ,112,dialysis,25,extracorporeal/parenteral
solution for haemodialysis/haemofiltration,,42,no transformation                                 ,47,conventional                                      ,112,dialysis,25,extracorporeal/parenteral
solution for haemodialysis,,42,no transformation                                 ,47,conventional                                      ,112,dialysis,25,extracorporeal/parenteral
solution for peritoneal dialysis,,42,no transformation                                 ,47,conventional                                      ,112,dialysis,109,intraperitoneal
concentrate for solution for haemodialysis,,38,dilution                                          ,47,conventional                                      ,112,dialysis,25,extracorporeal/parenteral
powder for concentrate for solution for haemodialysis,,38,dilution/dissolution                              ,47,conventional                                      ,112,dialysis,25,extracorporeal/parenteral
concentrate for solution for peritoneal dialysis,,38,dilution                                          ,47,conventional                                      ,112,dialysis,109,intraperitoneal
stomach irrigation,,42,no transformation                                 ,47,conventional                                      ,15,rinsing/washing,106,gastric
gastroenteral solution,,42,no transformation                                 ,47,conventional                                      ,4,administration,107,gastroenteral
gastroenteral suspension,,42,no transformation                                 ,47,conventional                                      ,4,administration,107,gastroenteral
gastroenteral emulsion,,42,no transformation                                 ,47,conventional                                      ,4,administration,107,gastroenteral
intestinal gel,,42,no transformation                                 ,47,conventional                                      ,4,administration,108,intestinal
intraperitoneal solution,intraperitoneal solution,42,no transformation                                 ,47,conventional                                      ,11,injection,109,intraperitoneal
intrauterine gel,,42,no transformation                                 ,47,conventional                                      ,5,application,27,intrauterine
intrauterine delivery system,intrauterine system,42,no transformation                                 ,45,prolonged                                         ,12,insertion,27,intrauterine
urethral stick,urethral suppository,42,no transformation                                 ,47,conventional                                      ,12,insertion,28,intravesical/urethral
bladder irrigation,,42,no transformation                                 ,47,conventional                                      ,15,rinsing/washing,28,intravesical/urethral
intravesical solution,,42,no transformation                                 ,47,conventional                                      ,4,administration,28,intravesical/urethral
urethral gel,,42,no transformation                                 ,47,conventional                                      ,4,administration,28,intravesical/urethral
intravesical suspension,,42,no transformation                                 ,47,conventional                                      ,4,administration,28,intravesical/urethral
urethral emulsion,,42,no transformation                                 ,47,conventional                                      ,4,administration,28,intravesical/urethral
urethral ointment,,42,no transformation                                 ,47,conventional                                      ,4,administration,28,intravesical/urethral
intravesical solution/solution for injection,,42,no transformation                                 ,47,conventional                                      ,4,administration/injection,28,intravesical/urethral
concentrate for intravesical solution,,38,dilution                                          ,47,conventional                                      ,4,administration,28,intravesical/urethral
powder for intravesical suspension,,39,dispersion                                        ,47,conventional                                      ,4,administration,28,intravesical/urethral
powder for intravesical solution,,40,dissolution                                       ,47,conventional                                      ,4,administration,28,intravesical/urethral
powder for bladder irrigation,,40,dissolution                                       ,47,conventional                                      ,15,rinsing/washing,28,intravesical/urethral
powder for concentrate for intravesical suspension,,38,dilution/dispersion                               ,47,conventional                                      ,4,administration,28,intravesical/urethral
powder for intravesical solution/solution for injection,,38,dilution/dispersion                               ,47,conventional                                      ,4,administration,28,intravesical/urethral
eye cream,ophthalmic cream,42,no transformation                                 ,47,conventional                                      ,4,administration,30,ocular
eye gel,ophthalmic gel,42,no transformation                                 ,47,conventional                                      ,4,administration,30,ocular
