EDQM Dose Form,RxNorm Mapping
Nasal gel,Nasal Gel
Nasal ointment,Nasal Ointment
"Nasal drops, solution",Nasal Solution
"Nasal drops, suspension",Nasal Suspension
"Nasal drops, emulsion",
Nasal powder,Nasal Powder
"Nasal spray, solution",Nasal Spray
"Nasal spray, suspension",Nasal Spray
"Nasal spray, emulsion",Nasal Spray
Nasal wash,Irrigation Solution
Nasal stick,
Intravaginal ring,
Vaginal cream,Vaginal Cream
Vaginal gel,Vaginal Gel
Vaginal ointment,Vaginal Ointment
Vaginal foam,Vaginal Foam
Vaginal solution,
Vaginal suspension,
Vaginal emulsion,
Tablet for vaginal solution,
Pessary,Vaginal Insert
"Vaginal capsule, hard",Vaginal Insert
"Vaginal capsule, soft",Vaginal Insert
Vaginal tablet,Vaginal Insert
Effervescent vaginal tablet,Vaginal Insert
Medicated vaginal tampon,Vaginal Insert
Vaginal delivery system,Vaginal System
Vaginal sponge,
Rectal cream,Rectal Cream
Rectal gel,Rectal Gel
Rectal ointment,Rectal Ointment
Rectal foam,Rectal Foam
Rectal solution,Rectal Solution
Rectal suspension,Rectal Suspension
Rectal emulsion,
Concentrate for rectal solution,
Powder for rectal solution,
Powder for rectal suspension,
Tablet for rectal solution,
Tablet for rectal suspension,
Suppository,Rectal Suppository
Rectal capsule,Rectal Suppository
Rectal tampon,Rectal Suppository
Aerosol,Inhalation Spray
Nebuliser solution,Inhalation Solution
Nebuliser suspension,Inhalation Suspension
Powder for nebuliser suspension,
Powder for nebuliser solution,
Nebuliser emulsion,
"Pressurised inhalation, solution",Inhalation Solution
"Pressurised inhalation, suspension",Inhalation Suspension
"Pressurised inhalation, emulsion",
Inhalation powder,Inhalation Powder
"Inhalation powder, hard capsule",Dry Powder Inhaler
"Inhalation powder, pre-dispensed",Dry Powder Inhaler
"Inhalation vapour, powder",
"Inhalation vapour, capsule",
"Inhalation vapour, solution",Inhalation Solution
"Inhalation vapour, tablet",
"Inhalation vapour, ointment",
"Inhalation vapour, liquid",
Inhalation gas,Gas for Inhalation
Solution for injection,Injectable Solution
Suspension for injection,Injectable Suspension
Emulsion for injection,
Gel for injection,
Powder for solution for injection,Injectable Solution
Powder for suspension for injection,Injectable Suspension
Powder for prolonged-release suspension for injection,
Prolonged-release suspension for injection,Injectable Suspension
Concentrate for solution for injection,
Solution for cardioplegia,
Solution for infusion,Injectable Solution
Emulsion for infusion,
Powder for dispersion for infusion,Injectable Suspension
Powder for solution for infusion,Injectable Solution
Concentrate for solution for infusion,Injectable Solution
Lyophilisate for solution for infusion,Injectable Solution
Solvent for parenteral use,
Lyophilisate for solution for injection,Injectable Solution
Lyophilisate for suspension for injection,Injectable Suspension
Implant,Drug Implant
Implantation tablet,
Implantation chain,
Implantation matrix,
Implantation suspension,
Kit for implant,
Solution for peritoneal dialysis,
Solution for haemofiltration,
Solution for haemodiafiltration,
Solution for haemodialysis,
Concentrate for solution for haemodialysis,
Solution for intravesical use,Intravesical Solution
Bladder irrigation,Irrigation Solution
Intravesical solution,Intravesical Solution
Powder for bladder irrigation,Irrigation Solution
Urethral gel,Urethral Gel
Urethral stick,Urethral Suppository
"Endotracheopulmonary instillation, solution",
"Endotracheopulmonary instillation, powder for solution",
"Endotracheopulmonary instillation, suspension",Intratracheal Suspension
Endocervical gel,
Intramammary solution,
Intramammary suspension,
Intramammary emulsion,
Intramammary ointment,
Teat stick,
Intrauterine delivery system,Intrauterine System
Intrauterine solution,
Intrauterine suspension,
Intrauterine emulsion,
Intrauterine tablet,
Intrauterine capsule,
Bee-hive strip,
Bee-hive gel,
Bee smoke paper,
Bee smoke stick,
Nebulisation solution,
Absorbable coated sponge,
Denture lacquer,
Anticoagulant and preservative solution for blood,
Solution for blood fraction modification,
Wound stick,
Radiopharmaceutical precursor,
Radionuclide generator,
Kit for radiopharmaceutical preparation,
Gastroenteral solution,
Dispersion,
Frozen solution for sealant,
Gastroenteral suspension,
Gastroenteral emulsion,
Intraperitoneal solution,Intraperitoneal Solution
Solution for organ preservation,
Irrigation solution,Irrigation Solution
Stomach irrigation,Irrigation Solution
Sealant,
Sealant matrix,
Sealant powder,
Solution for perfusion of organs,
Impregnated pad,
Impregnated plug,
Living tissue equivalent,
Lyophilisate for oculonasal suspension,
Medicated sponge,
Intestinal gel,
Medicated thread,
Solution for provocation test,
"Medicinal gas, compressed",Gas for Inhalation
"Medicinal gas, cryogenic",Gas for Inhalation
"Medicinal gas, liquefied",Gas for Inhalation
Concentrate for concentrate for solution for infusion,
Concentrate for nebuliser solution,Inhalation Solution
Concentrate for oromucosal solution,Mucous Membrane Topical Solution
Concentrate for suspension for injection,Injectable Suspension
Dispersion for concentrate for dispersion for infusion,
"Ear drops, powder for suspension",
Effervescent granules for oral suspension,
Emulsion for emulsion for injection,
"Endotracheopulmonary instillation, powder for suspension",
"Eye drops, powder for solution",
"Eye drops, powder for suspension",
Gas for dispersion for infusion,
Gas for dispersion for injection,
Gel for gel,Topical Gel
Granules for rectal suspension,Rectal Suspension
Laryngopharyngeal solution,
"Laryngopharyngeal spray, solution",
Matrix for implantation matrix,
"Nasal drops, lyophilisate for suspension",Nasal Suspension
"Nasal drops, powder for solution",Powder for Nasal Solution
Powder for gel,Topical Gel
Powder for dental gel,
Powder for dispersion for injection,Injectable Suspension
Powder for endocervical gel,
Powder for endosinusial solution,Powder for Nasal Solution
Powder for gingival gel,
Powder for implantation matrix,
Powder for implantation paste,
Powder for intraocular instillation solution,Ophthalmic Irrigation Solution
Powder for sealant,
Powder for solution for skin-prick test,
Solution for solution for injection,
Solution for spray,
Solvent for...,
Suspension for emulsion for injection,
Suspension for oral suspension,
Suspension for spray,
Suspension for suspension for injection,
Powder for emulsion for injection,
Endosinusial solution,Nasal Solution
Epilesional solution,
Implantation paste,
Intraocular instillation solution,Ophthalmic Irrigation Solution
Intravesical suspension,Intravesical Suspension
Coated granules,Oral Granules
Solution for suspension for injection,
Granules for suspension for injection,
