EDQM,,,,,RxNorm Mapping,Bewertung,Kommentar,Original Mapping [https://www.sciencedirect.com/science/article/pii/S138650562200140X],,
PDF-10303000,Human and Veterinary,Current,Oromucosal,"Gargle, powder for solution",Mouthwash,ok,,,an oral solution intended to be used as a rinse or for irrigation. This includes oral solutions that are applied to the teeth,
PDF-10304000,Human and Veterinary,Current,Oromucosal,"Gargle, tablet for solution",Mouthwash,ok,,,an oral solution intended to be used as a rinse or for irrigation. This includes oral solutions that are applied to the teeth,
PDF-10305000,Human and Veterinary,Current,Oromucosal,Oromucosal solution,Mucous Membrane Topical Solution,ok,"sehr allgemein, nicht Mundschleimhaut",,an oral solution intended for use on the mucous membranes,
PDF-10306000,Human and Veterinary,Current,Oromucosal,Oromucosal suspension,Mucous Membrane Topical Solution,ok,"sehr allgemein, nicht Mundschleimhaut",,an oral solution intended for use on the mucous membranes,
PDF-10307000,Human and Veterinary,Deprecated,Oromucosal,Oromucosal drops,Mucous Membrane Topical Solution,ok,"sehr allgemein, nicht Mundschleimhaut",,an oral solution intended for use on the mucous membranes,
PDF-10308000,Human and Veterinary,Deprecated,Oromucosal,Oromucosal spray,Oral Spray,ok,"sehr allgemein, nicht Mundschleimhaut",,a spray intended to be applied into the oral cavity,
PDF-10308100,Human and Veterinary,Current,Oromucosal,"Oromucosal spray, emulsion",Oral Spray,ok,"sehr allgemein, nicht Mundschleimhaut",,a spray intended to be applied into the oral cavity,
PDF-10308200,Human and Veterinary,Current,Oromucosal,"Oromucosal spray, solution",Oral Spray,ok,"sehr allgemein, nicht Mundschleimhaut",,a spray intended to be applied into the oral cavity,
PDF-10308300,Human and Veterinary,Current,Oromucosal,"Oromucosal spray, suspension",Oral Spray,ok,"sehr allgemein, nicht Mundschleimhaut",,a spray intended to be applied into the oral cavity,
PDF-10309000,Human and Veterinary,Deprecated,Sublingual,Sublingual spray,Oral Spray,ok,"sehr allgemein, nicht Mundschleimhaut",,a spray intended to be applied into the oral cavity,
PDF-10309100,Human and Veterinary,Current,Sublingual,"Sublingual spray, emulsion",Oral Spray,ok,"sehr allgemein, nicht Mundschleimhaut",,a spray intended to be applied into the oral cavity,
PDF-10309200,Human and Veterinary,Current,Sublingual,"Sublingual spray, solution",Oral Spray,ok,"sehr allgemein, nicht Mundschleimhaut",,a spray intended to be applied into the oral cavity,
PDF-10309300,Human and Veterinary,Current,Sublingual,"Sublingual spray, suspension",Oral Spray,ok,"sehr allgemein, nicht Mundschleimhaut",,a spray intended to be applied into the oral cavity,
PDF-10310000,Human and Veterinary,Current,Oromucosal,Mouthwash,Mouthwash,ok,,,an oral solution intended to be used as a rinse or for irrigation. This includes oral solutions that are applied to the teeth,
PDF-10311000,Human and Veterinary,Current,Oromucosal,"Mouthwash, tablet for solution",Mouthwash,ok,,,an oral solution intended to be used as a rinse or for irrigation. This includes oral solutions that are applied to the teeth,
PDF-10312000,Human and Veterinary,Current,Oromucosal,Gingival solution,Mouthwash,ok,sehr allemein,,an oral solution intended to be used as a rinse or for irrigation. This includes oral solutions that are applied to the teeth,
PDF-10313000,Human and Veterinary,Current,Oromucosal,Oromucosal gel,Oral Gel,ok,sehr allemein,,a gel intended for use on or in the oral cavity,
PDF-10314000,Human and Veterinary,Current,Oromucosal,Oromucosal paste,Oral Paste,ok,sehr allemein,,a paste to be taken or used orally,
PDF-10314005,Human and Veterinary,Current,Oromucosal,Oromucosal ointment,Oral Ointment,ok,sehr allemein,,a ointment intended for use on or in the mouth,
PDF-10314010,Human and Veterinary,Current,Oromucosal,Oromucosal cream,Oral Cream,ok,sehr allemein,,a cream intended for use on or in the mouth,
PDF-10314011,Human and Veterinary,Current,Buccal,Buccal film,Buccal Film,ok,,Buccal Film,a thin sheet placed on the inner lining of the cheek until dissolved and contains one or more layers,
PDF-10315000,Human and Veterinary,Current,Oromucosal,Gingival gel,Oral Gel,ok,sehr allgemein,,a gel intended for use on or in the oral cavity,
PDF-10316000,Human and Veterinary,Current,Oromucosal,Gingival paste,Oral Paste,ok,sehr allgemein,,a paste to be taken or used orally,
PDF-10317000,Human and Veterinary,Current,Oromucosal,Oromucosal capsule,Oral Capsule,ok,sehr allgemein,,a capsule taken by mouth,
PDF-10317500,Human and Veterinary,Current,Sublingual,Sublingual film,Sublingual Film,ok,,Sublingual Film,a thin sheet placed under the tongue until dissolved and contains one or more layers,
PDF-10318000,Human and Veterinary,Current,Sublingual,Sublingual tablet,Sublingual Tablet,ok,,Sublingual Tablet,a tablet held under the tongue until dissolved,
PDF-10319000,Human and Veterinary,Current,Buccal,Muco-adhesive buccal tablet,Sustained Release Buccal Tablet,ok,,Sustained Release Buccal Tablet,a tablet held in the hollow pockets of the cheek while the slowed delivery system allows the drug to be released over an extended period of time at a controlled rate,
PDF-10320000,Human and Veterinary,Current,Buccal,Buccal tablet,Buccal Tablet,ok,,Buccal Tablet,a tablet held in the hollow pockets of the cheek until dissolved,
PDF-10321000,Human and Veterinary,Current,Oromucosal,Lozenge,Oral Lozenge,ok,,Oral Lozenge,a solid mass intended to be held in the mouth to allow for slow dissolution,
PDF-10322000,Human and Veterinary,Current,Oromucosal,Compressed lozenge,Oral Lozenge,ok,,,a solid mass intended to be held in the mouth to allow for slow dissolution,
PDF-10323000,Human and Veterinary,Current,Oromucosal,Pastille,Disintegrating Oral Tablet,ok,sehr allgemein,,a tablet dissolved in the mouth to release medication,
PDF-10401000,Human and Veterinary,Current,Dental,Periodontal powder,Oral Powder,ok,sehr allgemein,,"a powder given orally, often sprinkled on or mixed with food. Not for powders mixed with liquids",
PDF-10401500,Human and Veterinary,Current,Dental,Dental cement,Cement,ok,sehr allgemein,,,
PDF-10402000,Human and Veterinary,Current,Dental,Dental gel,Oral Gel,ok,,,a gel intended for use on or in the oral cavity,
PDF-10403000,Human and Veterinary,Current,Dental,Dental stick,,,,,,
PDF-10404000,Human and Veterinary,Deprecated,Dental,Dental insert,,,,,,
PDF-10405000,Human and Veterinary,Current,Dental,Dental powder,Oral Powder,ok,,,"a powder given orally, often sprinkled on or mixed with food. Not for powders mixed with liquids",
PDF-10406000,Human and Veterinary,Current,Dental,Dental solution,Mouthwash,,i,,an oral solution intended to be used as a rinse or for irrigation. This includes oral solutions that are applied to the teeth,
PDF-10407000,Human and Veterinary,Current,Dental,Dental suspension,Mouthwash,,"Mundwasser finde ich hier nicht ganz passend. Mit einem Mundwasser spült man, eine Suspension trägt man eher direkt auf eine bestimmte Stelle auf.",Mouthwash,an oral solution intended to be used as a rinse or for irrigation. This includes oral solutions that are applied to the teeth,
PDF-10408000,Human and Veterinary,Current,Dental,Dental emulsion,Mouthwash,,Mundwasser finde ich hier nicht ganz passend,,an oral solution intended to be used as a rinse or for irrigation. This includes oral solutions that are applied to the teeth,
PDF-10409000,Human and Veterinary,Current,Dental,Toothpaste,Toothpaste,ok,,Toothpaste,a paste intended to be used in cleaning teeth,
PDF-10410000,Human and Veterinary,Current,Dental,Periodontal gel,Oral Gel,ok,,,a gel intended for use on or in the oral cavity,
PDF-10411000,Human and Veterinary,Current,Dental,Periodontal insert,,,,,,
PDF-10413000,Human and Veterinary,Current,Dental,Powder for dental cement,,,,,,
PDF-10414000,Human and Veterinary,Current,Dental,Solution for dental cement,,,,,,
PDF-10501000,Human and Veterinary,Current,Cutaneous,Bath additive,,,,,,
PDF-10502000,Human and Veterinary,Current,"Cutaneous, Transdermal",Cream,Topical Cream,ok,,,a cream intended to be used on the skin,
PDF-10503000,Human and Veterinary,Current,Cutaneous,Gel,Topical Gel,ok,,Topical Gel,a gel intended for use on the skin,
PDF-10504000,Human and Veterinary,Current,"Cutaneous, Transdermal",Ointment,Topical Ointment,ok,,Topical Ointment,a ointment intended for use on or in the skin,
PDF-10505000,Human and Veterinary,Current,Cutaneous,Cutaneous paste,Paste,ok,,,"a smooth, viscous mixture of material; semisolid in nature",
PDF-10506000,Human and Veterinary,Current,"Cutaneous, Transdermal",Medicated plaster,Medicated Tape,FALSE,Tape ist kein Pflaster,,an adhesive tape used to apply medication (see also Medicated Patch and Transdermal System),Medicated tape also fine?
PDF-10507000,Human and Veterinary,Current,Cutaneous,Cutaneous foam,Topical Foam,ok,,Topical Foam,a foam intended for use on the skin,
